product_code,description,stock_qty,avg,total_stock,main_bin,alt_bin_1,alt_bin_2,alt_bin_3,bin_group
125686,TOLSEN CLAW HAMMER F/G 450g 16oz,2.0,79.95,159.9,025,,,,025
127186,TOLSEN WOOD FILE RASP FLAT 200MM TOL3202,1.0,57.5,57.5,025,,,,025
127187,TOLSEN WOOD FILE H/RND 200MM TOL32025,2.0,72.0,144.0,025,,,,025
127188,TOLSEN WOOD FILE ROUND 200MM TOL32029,1.0,38.78,38.78,025,,,,025
128661,TOLSEN SLEDGE HAMMER 1.8KG TRP HANDLE,1.0,195.0,195.0,025,,,,025
129558,CHISEL SET WOOD 3PC PLAST HANDL TOL25380,2.0,115.0,230.0,025,,,,025
129565,STONING HAMMER F/G HANDLE 1.5KG TOL25012,2.0,150.0,300.0,025,,,,025
131344,TOLSEN SPRAY AIR KIT 5PC TOL73198,1.0,429.95,429.95,025,,,,025
131903,LASHER ROAD STAMPER ROUND 1.5M FG02837,2.0,411.0,822.0,025,,,,025
132280,HAR WRECKING BAR 600MM,2.0,35.0,70.0,025,,,,025
132281,HAR WRECKING BAR 750MM,2.0,42.17,84.34,025,,,,025
132678,HAR PIPE WRENCH 450MM 18'' IBH102,2.0,89.99,179.98,025,,,,025
133693,TOL COLD CHISEL FLAT 250mm TOL25087,2.0,49.95,99.9,025,,,,025
133746,TOLSEN WRECKING BAR 600MM TOL25118,2.0,89.0,178.0,025,,,,025
134369,TOL COLD CHISEL FLAT 300mm TOL25088,2.0,59.95,119.9,025,,,,025
134941,TOL JACK HYD TROLLEY 2 TON IND TOL65462,1.0,729.95,729.95,025,,,,025
135023,"BRUNO WRECKING BAR 30""x3/4"" FZ026",3.0,133.66,400.98,025,,,,025
135152,TOL CHISEL WOOD TPR HANDLE 32mm TOL25073,2.0,77.97,155.95,025,,,,025
135441,TOL COLD CHISEL POINTED 250 X 16 X 4 LA,2.0,57.25,114.5,025,,,,025
135447,TOLSEN HAMMER BALL PEIN F/G 16OZ 450G TO,1.0,89.95,89.95,025,,,,025
135448,TOLSEN HAMMER BALL PEIN F/G 32OZ 900G,1.0,129.95,129.95,025,,,,025
135449,TOLSEN HAMMER CLAW F/G 225G 80 oz,1.0,60.0,60.0,025,,,,025
135450,TOLSEN HAMMER CLAW F/G 560G 20oz,2.0,89.95,179.9,025,,,,025
135451,TOLSEN HAMMER ROOFING TPR HANDLE 1.8KG T,2.0,109.95,219.9,025,,,,025
135454,TOLSEN HAMMER STONING F/G HANDLE 1.0KG,2.0,113.5,227.0,025,,,,025
135457,TOLSEN KNIFE BLADE 10PK SK5 BLISTER,5.0,20.34,101.71,025,,,,025
103974,TOLSEN SPRING CLAMP 150mm,2.0,21.89,43.78,026,,,,026
104367,TOLSEN STAPLES 8mm x 0.7mm (1000),3.0,17.0,51.0,026,,,,026
104450,TOLSEN STAPLES 6mm x 0.7mm(1000),4.0,15.5,62.0,026,,,,026
104547,TOLSEN SPRING CLAMP 100mm,4.0,10.0,40.0,026,,,,026
105116,TOLSEN STAPLES 10mm x 0.7mm (1000),2.0,17.81,35.63,026,,,,026
107393,FONTOR STAPLE GUN H/DUTY 180044,2.0,47.5,95.0,026,,,,026
121754,TOLSEN STAPLE GUN HEAVY DUTY 3WAY 4-14mm,3.0,153.72,461.18,026,,,,026
123507,TOLSEN STAPLE GUN M/DUTY 4-8mm,2.0,79.93,159.86,026,,,,026
126760,TOLSEN QUICK RATCHET BAR CLAMP 150mm TOL,1.0,69.5,69.5,026,,,,026
126761,TOLSEN QUICK RATCHET BAR CLAMP 300mm TOL,1.0,86.0,86.0,026,,,,026
128360,TOLSEN SCISSORS HOUSE HOLD 200MM TOL3004,4.0,36.61,146.45,026,,,,026
128444,TOLSEN G CLAMP 100MM TOL10113,1.0,75.5,75.5,026,,,,026
128825,TOLSEN G CLAMP 200MM TOL10115,2.0,150.22,300.45,026,,,,026
128881,TOLSEN STAPLES 10mm x 1.2mm (1000),3.0,23.0,69.0,026,,,,026
129631,TOLSEN STAPLES 12mm x 1.2mm (1000),2.0,24.5,49.0,026,,,,026
130175,TOLSEN G CLAMP 75MM TOL10112,2.0,55.0,110.0,026,,,,026
130176,TOLSEN G CLAMP 150MM TOL10114,1.0,118.0,118.0,026,,,,026
133699,TOL STAPLES 8mm x 1.2mm (1000) TOL43028,1.0,21.0,21.0,026,,,,026
135153,"TOL CHUCK & KEY (1.5-10mm 3/8"") TOL79160",2.0,68.75,137.5,026,,,,026
135154,TOLSEN CHUCK KEY ONLY 10mm TOL79180,3.0,18.0,54.0,026,,,,026
135156,TOLSEN CLAMP F 120 X 1000mm TOL10156,2.0,219.95,439.9,026,,,,026
135157,TOLSEN CLAMP F 120 X 500mm TOL10153,2.0,159.95,319.9,026,,,,026
135438,TOLSEN CLAMP ONE HAND QUICK 600mm,2.0,95.95,191.9,026,,,,026
135439,TOLSEN SPRING CLAMP 225mm TOL10200,1.0,18.95,18.95,026,,,,026
135455,"TOLSEN CHUCK & KEY (1.5-13mm 1/2"")",2.0,69.95,139.9,026,,,,026
135456,TOLSEN CHUCK KEY ONLY 13mm TOL79181,2.0,23.0,46.0,026,,,,026
137705,WADFOW SPAPLE 3 IN 1 GUN,1.0,69.72,69.72,026,,,,026
103511,TOLSEN RETRACTBLE UTILITY KNIFE TOL30008,4.0,37.6,150.43,027,,,,027
107251,TOL FOLDING KNIFE UTILITY LOCK BACK 5 BL,4.0,49.95,199.8,027,,,,027
107574,TOLSEN TUBE CUTTER 6-64mm TOL33006,1.0,249.95,249.95,027,,,,027
107715,TOLSEN MITRE BOX + 300mm BACKSAW,6.0,119.95,719.7,027,,,,027
107811,TOLSEN TUBE CUTTER MINI 3-22MM TOL33003,2.0,62.8,125.6,027,,,,027
121338,TOLSEN SNAP OFF ALUM KNIFE 18mm,3.0,40.5,121.5,027,,,,027
125687,TOLSEN MINI HACKSAW 150MM TOL30051,2.0,34.95,69.9,027,,,,027
125688,TOLSEN TUBULAR HACKSAW 300MM TOL30053,2.0,52.45,104.9,027,,,,027
125689,TOLSEN HACKSAW METAL FRAME TOL30054,2.0,119.95,239.9,027,,,,027
128663,TOLSEN KNIFE BLADE SK5 10pk TOL30010,1.0,20.5,20.5,027,,,,027
128793,STANLEY TUBE CUTTER 3MM-30MM,3.0,156.0,468.0,027,,,,027
129492,HACKSAW BLADE JUNIOR (10 PACK) TOL30060,2.0,35.95,71.9,027,,,,027
129559,HACKSAW SQUARE TUBE FRAME 300MM TOL30052,3.0,39.95,119.85,027,,,,027
131643,HAR 46PC SOCKET AND RATCHET SET,1.0,125.0,125.0,027,,,,027
132598,KNIFE UTILITY AUTO LOCK & RETRA TOL30019,3.0,119.95,359.85,027,,,,027
133270,TOLSEN PVC PIPE CUTTER 225MM,2.0,119.95,239.9,027,,,,027
135458,TOL KNIFE BLADE SNAP OFF 18MM 10PK,5.0,16.0,80.0,027,,,,027
135529,TOLSEN Tie Down Ratchet 25mmx5mts 225kG,2.0,130.95,261.91,027,,,,027
135530,TOLSEN Tie Down Ratchet 25mmx5mt,4.0,249.95,999.8,027,,,,027
135647,TOLSEN KNIFE ELECTRICIANS 195MM INDUST T,4.0,128.5,514.0,027,,,,027
136923,TOLSEN SNAP-OFF BLADE KNIFE 9MM TOL30080,1.0,5.61,5.61,027,,,,027
138178,TOLSEN FOLDING KNIFE INDUSTRIAL HEAVY DU,2.0,69.47,138.95,027,,,,027
101158,TOLSEN ALLEN KEY TORX SET 9PC,2.0,98.25,196.5,028,,,,028
102823,CROW BAR 1.5m x 25mm,1.0,183.5,183.5,028,,,,028
102824,CROW BAR 1.8m x 25mm,-1.0,215.95,-215.95,028,,,,028
106127,BRUNO AMERICAN PIPE WRENCH 25CM,1.0,81.19,81.19,028,,,,028
108425,BRUNO AMERICAN PIPE WRENCH 30CM,4.0,94.99,379.96,028,,,,028
108426,BRUNO AMERICAN PIPE WRENCH 35CM,-2.0,118.32,-236.64,028,,,,028
128451,TOLSEN FENCING PLIER 300MM TOL09923,2.0,174.97,349.95,028,,,,028
132638,TOOL BAG CANVAS CLOSING FLAP TOL80102,1.0,649.95,649.95,028,,,,028
134938,TOL JACK BOTTLE 20 TON IND TOL65420,1.0,849.0,849.0,028,,,,028
134940,TOL JACK BOTTLE 6 TON IND TOL65406,1.0,399.95,399.95,028,,,,028
134944,TOLSEN TOOL SET HOUSEHOLD 89PC TOL85352,1.0,899.95,899.95,028,,,,028
135559,"TOLSEN SOCKET SET 1/2"" 10-32MM 22PC INDU",1.0,599.0,599.0,028,,,,028
135561,"TOLSEN SOCKET SET 1/4"" 4-14MM & 1/2"" 10-",2.0,987.25,1974.5,028,,,,028
103702,"MBS ADJ WRENCH 8"" 20CM RUBBER HANDLE",2.0,40.0,80.0,029,,,,029
104438,HARDROCK JACK PLANE NO.4,2.0,129.99,259.98,029,,,,029
104439,HARDROCK JACK PLANE NO.5,2.0,134.99,269.98,029,,,,029
120210,JACK PLANE NO:3,2.0,119.99,239.98,029,,,,029
