Bar Code,Product Code,Full Description,VAT Inclusive Price,Manufacturers Product Code
101137,101137,AIRVENT CONC. ORANGE,17,AVENTCONCORNG
101160,101160,TOLSEN ALLEN KEY FOLDING TORX 8PC SET,120.52,TOL20059
101164,101164,ALLFIX SCREW +WASHER 63/65MM (50),30,ALLFIX6550
101166,101166,RUWAG CHIPBOARD SCREW ZY 5X60MM (100),94,RF-CB5060-100
101171,101171,ALUM RIVET 3.2mm (D) x 10mm (L) AS3210P,23,AS3210P
101172,101172,ALUM RIVETS 3.2mm x 18mm AS3218P,30.73,AS3218P
101173,101173,ALUM RIVETS 4mm (D) X 21mm (L) AS4021P,68,AS4021P
101174,101174,AVAST ALUM. FOIL TAPE 48x50Mx35 MICRON,120,UA047
101176,101176,ALUM. RIVET 4mm (D) x 15mm (L) AS4015P,37,AS4015P
101177,101177,ALUM. RIVET 4.8mm x 18mm FLANGED AS4818LF,126,AS4818LF
101178,101178,ALUM. RIVET 4.8mm (D) x 15mm (L) AS4815,52,AS4815
101179,101179,ALUM. RIVET 4.8mm (D) x 18mm (L) AS4818P,57,AS4818P
101181,101181,ALUM. RIVET 4.8mm (D) x 21mm (L) AS4821LF FLANGED,137,AS4821LF
101183,101183,ALUM. RIVETS 4.0mm (D) x 18mm (L) AS4018P,36.8,AS4018P
101184,101184,ALUM. RIVETS 4.8mm (D) x 10mm (L) AS4810P,45,AS4810P
101185,101185,ALUM. RIVETS 4.8mm (D) x 0.8mm (L)  AS4808P,38.64,AS4808P
101186,101186,ALUM.RIVETS 3.2mm(D) x 1.2mm (L) AS3212P,24.66,AS3212P
101187,101187,ALUMINIUM OVAL RAIL PER MT,35,MT331
101188,101188,ALUM RIVETS 3.2mm (D) x 1.5mm (L) PKT,28.98,AS3215P
101189, ,New product,0, 
101190,101190,ALUMINIUM WINDOW 1200 X 1200 2 VENT BRONZE PC,1188.08,PTT1212B
101191,101191,ALUMINIUM WINDOW 1200 X 1200 2 VENT NATURAL,1411.77,PTT1212N
101193,101193,ALUMINIUM WINDOW 1200 X 1500 2 VENT NATURAL,1696,PTT1215N
101198,101198,ALUMINIUM WINDOW 1200 X 900 1 VENT BRONZE PC,901,PT129B
101204,101204,ALUMINIUM WINDOW 1500 X 1500 2 VENT BRONZE PC,1637.1,PTT1515B
101206,101206,ALUM WINDOW 1500 X 1500 4 VENT BRONZE P4TT1515B,2214,P4TT1515B
101209,101209,ALUMINIUM WINDOW 1500 X 1800 2 VENT NATURAL,3436.05,PTT1518N
101212,101212,ALUMINIUM WINDOW 1500 X 900 1 VENT BRONZE PC,1170,PT159B
101217,101217,ALUMINIUM WINDOW 1800 X 1200 4 VENT NATURAL,2305.91,P4TT1812N
101224,101224,ALUMINIUM WINDOW 1800 X 1800 4 VENT BRONZE PC,2906.28,P4TT1818B
101226,101226,ALUMINIUM WINDOW 1800 X 600 1 VENT BRONZE PC,1175.97,PT186B
101256,101256,ALUMINIUM WINDOW 2400 X 600 1 VENT BRONZE PC,1067.42,PT246B
101264,101264,ALUMINIUM WINDOW 600 X 1800 2 VENT BRONZE PC,1934,PTT618B
101266,101266,ALUMINIUM WINDOW 600 X 600 1 VENT BRONZE PC,506,PT66B
101268,101268,ALUMINIUM WINDOW 600 X 900 1 VENT BRONZE PC,664,PT69B
101278,101278,ALUMINIUM WINDOW 900 X 900 1 VENT BRONZE PC,811.17,PT99B
